Astronomical Low Tide,astronomical low tide,,,,,,,,,,,,,,,,,,,,,,,,
Avalanche,avalanche,,,,,,,,,,,,,,,,,,,,,,,,
Blizzard,blizzard,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Flood,coastal  flooding/erosion,coastal flood,coastal flooding/erosion,coastalflood, coastal flood,cstl flooding/erosion,erosion/cstl flood,coastal flooding,,,,,,,,,,,,,,,,,
Cold/Wind Chill,bitter wind chill temperatures,cold,cold and snow,cold temperatures,cold wind chill temperatures,extreme cold,extreme wind chill,extreme windchill temperatures,bitter wind chill,cold and frost,cold temperature,cold weather,cold/wind chill,extended cold,extreme cold/wind chill,extreme windchill,excessive cold,unseasonably cold,prolong cold,record cold,wind chill,,,,
Debris Flow,tornado debris,,,,,,,,,,,,,,,,,,,,,,,,
Dense Fog,dense fog,fog,patchy dense fog,,,,,,,,,,,,,,,,,,,,,,
Dense Smoke,dense smoke,,,,,,,,,,,,,,,,,,,,,,,,
Drought,excessive heat/drought,drought,record low rainfall,excessively dry,abnormally dry,dry conditions,dry spell,dryness,dry,dry microburst,dry weather,very dry,driest month,record dry month,,,,,,,,,,,
Dust Devil,dust devil,dust devel,,,,,,,,,,,,,,,,,,,,,,,
Dust Storm,dust storm,blowing dust,,,,,,,,,,,,,,,,,,,,,,,
Excessive Heat,excessive heat,heat wave,record heat,,,,,,,,,,,,,,,,,,,,,,
Flash flood, flash flood,flash flood/flood,flood/flash/flood,flash flood,flash flooding,flood/flash flood,,,,,,,,,,,,,,,,,,,
Flood,flood,flood/strong wind,minor flooding,river flooding,street flooding,tidal flooding,urban flood,urban/small strm fldg,urban/sml stream fldg,,,,,,,,,,,,,,,,
Frost/Freeze,agricultural freeze,frost/freeze,damaging freeze,freeze,early frost,frost,first frost,,,,,,,,,,,,,,,,,,
Funnel Cloud,funnel cloud,wall cloud,,,,,,,,,,,,,,,,,,,,,,,
Hail,hail,late season hail,hail/wind,,,,,,,,,,,,,,,,,,,,,,
Heat,abnormal warmth,unseasonably hot,unseasonably warm & wet,unseasonably warm year,record warm,record warmth,hot and dry,hot weather,unusual/record warmth,,,,,,,,,,,,,,,,
Heavy rain,excessive rainfall,early rain,excessive rain,gusty wind/rain,heavy rain and wind,heavy rain/high surf,heavy rainfall,locally heavy rain,monthly rainfall,prolonged rain,rain (heavy),unseasonal rain,abnormally wet,record precipitation,unseasonably wet,wet micoburst,wet month,extremely wet,heavy precipitation,mixed precipitation,,,,,
Heavy Snow,blowing snow,falling snow/ice,first snow,accumulated snowfall,excessive snow,drifting snow,early snowfall,ice/snow,late-season snowfall,record snow,heavy snow,heavy snow squalls,late season snowfall,light snow/flurries,light snowfall,moderate snowfall,rain/snow,seasonal snowfall,snow,snow advisory,snow and sleet,snow showers,snow squalls,snow/sleet,unusually late snow
High Surf,   high surf advisory,hazardous surf,heavy surf and wind,high surf,high surf advisory,rough surf,,,,,,,,,,,,,,,,,,,
High Wind, wind,gusty lake wind,gusty wind/hail,high wind (g40),non-tstm wind,non tstm wind,strong wind gust,whirlwind,wind advisory,wind gusts,,,,,,,,,,,,,,,
Hurricane,hurricane edouard,typhoon,,,,,,,,,,,,,,,,,,,,,,,
Lake Effect Snow,lake effect snow,,,,,,,,,,,,,,,,,,,,,,,,
Lightning, lightning,tstm wind and lightning,,,,,,,,,,,,,,,,,,,,,,,
Marine Hail,marine hail,,,,,,,,,,,,,,,,,,,,,,,,
Marine Strong Wind,marine strong wind,,,,,,,,,,,,,,,,,,,,,,,,
Marine Thunderstorm Wind,marine tstm wind,,,,,,,,,,,,,,,,,,,,,,,,
Rip Current,rip currents,,,,,,,,,,,,,,,,,,,,,,,,
Sleet,freezing drizzle,freezing rain,freezing spray,freezing fog,freezing rain/sleet,light freezing rain,sleet/freezing rain,snow/freezing rain,sleet,,,,,,,,,,,,,,,,
Storm Surge/Tide,blow-out tides,astronomical high tide,blow-out tide,,,,,,,,,,,,,,,,,,,,,,
Thunderstorm Wind, tstm wind, tstm wind (g45),tstm wind 40,tstm wind/hail,tstm wnd,gusty thunderstorm winds,severe thunderstorm,thunderstorm,thunderstorm wind (g40),tstm,tstm wind,tstm wind (41),tstm wind (g40),,,,,,,,,,,,
Tropical Depression,tropical depression,storm surge,,,,,,,,,,,,,,,,,,,,,,,
Tropical Storm,coastal storm,coastalstorm,,,,,,,,,,,,,,,,,,,,,,,
Volcanic Ash,volcanic ash plume,volcanic eruption,,,,,,,,,,,,,,,,,,,,,,,
Waterspout,waterspout,waterspouts,,,,,,,,,,,,,,,,,,,,,,,
Wildfire,brush fire,wildfire,,,,,,,,,,,,,,,,,,,,,,,
Winter Weather,ice roads,icy roads,ice,ice jam,ice on road,winter mix,winter weather,winter weather/mix,wintry mix,black ice,cool spell,hyperthermia/exposure,,,,,,,,,,,,,
Others,microburst,beach erosion,coastal erosion,dam break,downburst,drowning,vog,landslide,landslump,unseasonably cool & wet,record temperature,glaze,high  swells,high water,monthly temperature,mud slide,mudslide/landslide,no severe weather,northern lights,red flag criteria,remnants of floyd,rogue wave,sml stream fld,temperature record,
